"","id","ses","genre","reseau","scolarite","experience"
"115",152,22.7,2,16,0,1
"116",153,76.3,2,20,3,25
"117",154,76.3,1,2,3,25
"118",155,33.1,1,8,1,5
"119",156,47.8545127651924,2,1,2,10
"120",158,45.8,2,5,2,6
"121",159,74.4,1,17,3,23
"122",160,36.5,2,12,1,2
"123",161,63.5,2,14,3,13
"124",162,63.5,1,4,3,6
"125",163,76.5,2,0,3,28
"126",164,37.7,2,9,1,7
"127",167,36.5,1,9,1,6
"128",168,64.4,2,10,3,23
"129",169,60.5,1,2,2,15
"130",170,48.8,2,15,2,4
"131",171,38.2,1,12,1,8
"132",172,34.2,1,12,1,5
"133",173,28.4,1,11,0,2
"134",174,50.5,2,6,2,10
"135",175,74.4,2,13,3,19
"136",184,63.2,1,19,3,19
"137",189,73.6,2,20,3,16
"138",190,53.7,1,3,2,13
"139",192,63.5,1,3,3,16
"140",193,58.3,1,21,2,8
"141",194,34.4,2,5,1,5
"142",195,50.7,2,12,2,15
"143",196,63.5,1,12,3,12
"144",197,32,1,10,1,7
"145",198,39,2,8,1,6
"146",199,32,2,3,1,4
"147",201,38.1,1,21,1,4
"148",202,73.2,2,17,3,12
"149",208,32.3,1,10,1,3
"150",211,78.5,2,25,4,16
"151",212,44.7,1,6,2,4
"152",213,81.9,1,13,4,14
"153",214,53.7,2,21,2,9
"154",217,61.1,2,8,2,17
"155",218,63.5,2,10,3,21
"156",219,38.4,2,20,1,5
"157",221,82.7,1,3,4,16
"158",222,63.5,1,8,3,26
"159",223,61.1,2,12,2,20
"160",224,26.4,2,8,0,7
"161",225,42.5,1,8,2,4
"162",226,52.5,1,9,2,13
"163",228,84.7,1,14,4,15
"164",229,52.5,1,11,2,13
"165",230,40.2,1,13,1,10
"166",231,82.7,1,5,4,18
"167",232,22.5,1,12,0,4
"168",233,63.5,1,3,3,16
"169",234,33.9,2,9,1,5
"170",235,76.4,2,15,3,15
"171",236,75.9,2,17,3,24
"172",237,40.1,1,8,1,7
"173",239,60.5,1,11,2,26
"174",242,76.4,1,22,3,25
"175",243,60.6,2,20,2,14
"176",244,36.5,2,0,1,3
"177",245,36.9,2,8,1,5
"178",246,22.5,2,11,0,2
"179",247,36.9,2,8,1,5
"180",248,43.7,2,6,2,3
"181",249,28.4,2,11,0,6
"182",250,47.8545127651924,2,3,2,4
"183",252,29.3,2,9,0,5
"184",253,42.3,2,31,2,4
"185",254,29.3,2,4,0,3
"186",255,76.4,2,11,3,18
"187",256,49.6,1,19,2,8
"188",257,38,2,9,1,15
"189",260,63.2,2,11,3,15
"190",261,53.1,1,1,2,8
"191",262,63.5,1,17,2,9
"192",263,80.3,2,12,4,12
"193",264,38,2,9,1,5
"194",265,86.5,1,30,4,32
"195",266,50.7,1,11,2,14
"196",267,81,2,5,4,23
"197",268,46.7,2,17,2,5
"198",269,20.1,2,15,0,3
"199",270,73.2,2,25,3,15
"200",271,61.9,2,23,2,14
"201",272,63.5,2,5,2,15
"202",273,41.6,2,8,1,5
"203",274,28.6,1,12,1,3
"204",275,49.6,1,6,2,6
"205",276,47.8545127651924,2,16,2,8
"206",277,73.2,1,27,3,19
"207",278,53.7,2,11,2,5
"208",279,53.7,2,13,2,9
"209",281,68.1,2,4,3,5
"210",282,45.3,1,8,2,6
"211",283,28.6,1,1,0,2
"212",284,37.7,2,15,1,6
"213",286,86.8,1,13,4,18
"214",287,32.7,1,10,1,3
"215",288,31.4,2,4,1,5
"216",289,37.9,2,3,1,6
"217",290,31.4,1,10,1,6
"218",291,53.3,2,18,2,7
"219",292,38.4,2,6,1,14
"220",293,47.8545127651924,2,24,2,4
"221",294,50.7,2,4,2,15
"222",295,32.4,2,13,1,2
"223",296,40,1,10,1,3
"224",297,32.3,1,9,1,6
"225",298,33.1,2,7,1,4
"226",299,32.4,2,11,1,3
"227",300,38.7,1,9,1,8
"228",301,34.2,1,12,1,6
"229",303,50.5,2,8,2,7
"230",2286,62.1,1,22,3,12
"231",2287,38.4,2,11,1,8
"232",2288,50.7,1,3,2,9
"233",2289,80.3,2,4,4,24
"234",2290,29.6,1,9,0,9
"235",2292,38.4,1,2,1,3
"236",2293,50.7,2,2,2,5
"237",2294,30.1,1,6,0,4
"238",2295,29.8,1,19,1,4
"239",2296,38.4,2,5,1,5
"240",2297,26.5,2,16,0,2
"241",2298,26.4,2,2,0,5
"242",2299,45.8,1,2,2,6
"243",2300,31.5,1,1,1,6
"244",2301,66.1,1,4,3,22
"245",2302,26.4,2,8,0,3
"246",2303,73.7,2,18,3,34
"247",2304,29.2,1,16,0,2
"248",2305,69.7,2,10,3,19
"249",2306,51.8,2,9,2,9
"250",2307,63.5,2,3,3,10
"251",2308,47.8545127651924,2,5,2,5
"252",2309,38.4,2,2,1,5
"253",2311,36.5,1,14,1,5
"254",2312,37.3,1,12,1,7
"255",2314,45.8,1,6,2,6
"256",2315,73.9,1,3,3,17
"257",2316,32.4,2,6,1,8
"258",2318,67,2,14,3,22
"259",2320,33.1,2,12,1,6
"260",2321,35.1,1,5,1,6
"261",2322,80.3,1,17,4,25
"262",2323,31.5,1,8,1,3
"263",2324,26.7,2,10,0,4
"264",2325,38.4,2,4,1,6
"265",2326,36.5,2,14,1,7
"266",2327,82.7,2,11,4,11
"267",2328,26.7,2,12,0,3
"268",2329,47.8545127651924,2,12,2,4
"269",2330,34.2,1,1,1,5
"270",2331,29.2,1,4,0,4
"271",2333,32,2,17,1,4
"272",2334,25.2,2,10,0,2
"273",2335,31.1,1,2,0,3
"274",2336,29.3,1,18,0,5
"275",2337,50.7,1,15,2,10
"276",2338,17.1,2,7,0,3
"277",2339,31.5,1,12,1,6
"278",2341,78.5,2,7,3,27
"279",2342,62.5,2,5,2,18
"280",2343,47.8545127651924,1,6,2,8
"281",2344,88.9,1,9,4,14
"282",2345,76.4,1,15,3,22
"283",2346,48.9,1,18,2,10
"284",2347,76.4,2,13,3,15
"285",2348,85.5,2,2,4,20
"286",2349,84.2,2,18,4,23
"287",2350,33.1,2,15,1,5
"288",2351,61.9,1,3,2,10
"289",2352,36.5,2,14,1,14
"290",2353,44.3,1,1,2,12
"291",2354,33.3,2,8,1,4
"292",2355,21.2,2,14,0,4
"293",2356,75.2,2,3,3,18
"294",2357,47.8545127651924,2,12,2,19
"295",2358,66.1,1,2,3,31
"296",2360,33.1,2,5,1,4
"297",2361,63.5,2,10,3,10
"298",2362,34.3,1,19,1,6
"299",2363,33.1,2,9,1,5
"300",2365,25.8,1,22,0,2
"301",2366,42.9,2,4,2,6
"302",2367,29,2,19,0,2
"303",2368,31.3,1,20,1,5
"304",2369,40,1,20,1,3
"305",2370,21.1,2,5,0,3
"306",2373,22.7,2,11,0,4
"307",2374,63.5,2,14,2,17
"308",2375,78.5,2,15,4,21
"309",2376,58.3,2,6,2,9
"310",2378,32.4,2,9,1,4
"311",2379,33.1,2,11,1,2
"312",2380,26.7,1,12,0,4
"313",2381,17.1,2,12,0,4
"314",2382,63.2,2,10,2,25
"315",2383,26.7,2,10,0,4
"316",2384,26.7,1,10,0,4
"317",2385,63.5,2,6,3,6
"318",2386,63.5,1,9,2,15
"319",2387,32.4,2,21,1,3
"320",2388,28.4,1,15,0,3
"321",2389,78.5,2,3,3,22
"322",2390,78.5,2,21,3,20
"323",2391,37.3,1,3,1,5
"324",2400,33.1,1,10,1,5
"325",2403,27.7,1,12,0,4
"326",2404,26.4,2,13,0,4
"327",2405,46.7,1,9,2,7
"328",2406,47.8545127651924,2,8,2,3
"329",2408,35.7,1,7,1,6
"330",2409,53.3,1,3,2,5
"331",2410,42.1,1,16,2,9
"332",2411,29.3,2,13,0,4
"333",2412,48.5,1,15,2,9
"334",2413,26.4,2,13,0,9
"335",2414,73.9,1,1,3,16
"336",2415,27.2,2,8,0,4
"337",2416,38.4,2,12,1,3
"338",2417,29.2,2,11,0,4
"339",2418,63.5,1,11,3,16
"340",2419,44.7,1,11,2,7
"341",2421,29.3,2,6,0,4
"342",2422,68.1,2,2,3,10
"343",2423,48.5,1,8,2,4
"344",2424,37.3,1,8,1,3
"345",2425,21.2,2,10,0,2
"346",2426,31.1,1,12,0,3
"347",2427,43.2,1,19,1,13
"348",2428,33.1,2,1,1,6
"349",2429,37.3,1,7,1,6
"350",2432,30.8,2,27,0,5
"351",2433,69.7,2,1,3,17
"352",2434,33.1,1,9,1,5
"353",2435,35.4,2,12,1,7
"354",2436,64.1,1,7,3,18
"355",2437,69.7,1,6,3,10
"356",2438,80.3,2,10,4,13
"357",2439,59.3,1,7,2,7
"358",2441,80,1,12,4,16
"359",2442,33.1,2,4,1,6
"360",2444,97.2,1,3,4,25
"361",2445,73.2,2,28,3,17
"362",2446,69.7,2,8,3,15
"363",2448,36.5,1,1,1,8
"364",2449,28.2,1,15,0,6
"365",2451,73.2,2,6,3,34
"366",2452,38.1,1,0,1,5
"367",2458,29.3,2,9,0,11
"368",2461,29,2,17,0,6
"369",2462,42.2,1,6,1,13
"370",2463,48.5,1,4,2,10
"371",2464,47.8545127651924,2,12,2,3
"372",2465,33.1,2,6,1,3
"373",2467,29.5,1,20,0,5
"374",2469,32.1,1,9,1,5
"375",2470,66.1,1,1,3,24
"376",2471,50.7,1,7,2,9
"377",2472,29.2,1,8,0,4
"378",2477,33.1,2,11,1,4
"379",2478,35.1,1,16,1,3
"380",2483,63.2,1,15,2,14
"381",2493,38.4,2,13,1,5
"382",2494,29.2,2,3,0,2
"383",2495,50.7,2,9,2,7
"384",2496,17.1,2,11,0,2
"385",2497,78,1,9,3,19
"386",2498,26.4,2,1,0,4
"387",2501,24.2,1,15,0,2
"388",2502,38,2,19,1,9
"389",2503,49.6,1,19,2,4
"390",2504,22.5,2,11,0,1
"391",2505,25.4,2,10,0,1
"392",2506,47.8545127651924,2,12,2,3
"393",2507,29.4,2,7,0,4
"394",2508,53.9,1,17,2,6
"395",2509,29.2,2,2,0,3
"396",2510,22.9,2,17,0,2
"397",2511,17.1,2,9,0,3
"398",2512,38.9,2,11,1,4
"399",2513,24.2,1,15,0,2
"400",2514,47.8545127651924,2,5,2,4
"401",2515,73.3,1,9,3,27
"402",2516,38,2,5,1,7
"403",2517,35.4,2,10,1,6
"404",2518,47.8545127651924,2,12,2,4
"405",2519,32.7,1,11,1,5
"406",2521,32.3,1,26,1,3
"407",2522,36.5,2,9,1,6
"408",2524,38,2,5,1,4
"409",2525,33.1,2,9,1,3
"410",2526,63.2,2,0,3,11
"411",2527,26.5,2,12,0,5
"412",2528,71.5,1,19,3,15
"413",2529,63.5,1,5,3,14
"414",2530,22.6,2,10,0,2
"415",2531,33.1,1,7,1,4
"416",2532,33.9,1,2,1,6
"417",2533,50.7,2,13,2,8
"418",2537,47.8545127651924,1,2,2,9
"419",2538,17.6,2,18,0,1
"420",2539,78.5,2,16,4,22
"421",2540,73.2,2,21,3,16
"422",2542,69.7,2,18,3,17
"423",2543,22.6,1,7,0,4
"424",2544,33.1,2,15,1,7
"425",2546,24.2,1,10,0,2
"426",2548,33.1,2,12,1,2
"427",2549,36.5,1,3,1,5
"428",2550,50.7,1,8,2,8
"429",2551,32.3,1,3,1,3
"430",2552,47.8545127651924,2,11,2,8
"431",2553,17.1,2,21,0,3
"432",2555,27.5,2,3,0,2
"433",2556,32.3,1,9,1,3
"434",2557,78.5,2,16,4,24
"435",2558,34.3,1,10,1,4
"436",2560,33.1,2,11,1,3
"437",2561,37.3,1,9,1,4
"438",2567,17.1,2,7,0,2
"439",2568,17.1,2,13,0,1
"440",2572,34.2,1,4,1,2
"441",2573,47.8545127651924,2,10,2,7
"442",2574,27.5,2,13,0,4
"443",2575,27.5,2,7,0,4
"444",2576,47.8545127651924,2,7,2,9
"445",2577,17.1,2,10,0,4
"446",2579,47.8545127651924,2,17,2,6
"447",2580,47.8545127651924,2,10,2,18
"448",2582,17.1,2,8,0,2
"449",2583,47.8545127651924,2,6,2,8
"450",2584,33.1,2,7,1,7
"451",2585,34.2,1,0,1,4
"452",2587,51.9,2,19,2,8
"453",2588,26.5,2,10,0,2
"454",2589,17.1,2,11,0,2
"455",2590,26.5,2,2,0,2
"456",2591,46.7,2,6,2,8
"457",2596,29.3,2,14,0,4
"458",2599,38.4,2,12,1,10
"459",2609,38.4,2,14,1,6
"460",2611,63.2,2,21,3,18
"461",2612,31.3,1,6,1,4
"462",2617,73.6,2,7,3,15
"463",2620,26.4,2,21,0,5
"464",2627,26.6,1,14,0,4
"465",2628,33.1,2,9,1,6
"466",2629,26.5,1,12,0,3
"467",2630,31.5,1,10,1,2
"468",2632,50.7,2,5,2,5
"469",2633,50.7,2,9,2,7
"470",2634,29.4,2,18,1,2
"471",2635,54.7,1,11,2,12
"472",2636,43.7,2,15,2,7
"473",2637,21.2,2,9,0,3
"474",2638,32,2,7,1,4
"475",2639,48.5,1,19,2,12
"476",2640,39.4,2,25,1,6
"477",2641,26.7,2,12,0,4
"478",2643,29.3,2,2,0,4
"479",2644,50.7,2,12,2,9
"480",2646,78.5,2,19,4,18
"481",2647,36.5,1,7,1,6
"482",2648,48.9,1,7,2,3
"483",2650,22.7,1,8,0,2
"484",2651,66.1,1,1,3,6
"485",2652,73.6,2,5,3,15
"486",2653,28.2,1,11,0,2
"487",2654,59.1,2,6,2,9
"488",2655,36.5,1,14,1,5
"489",2656,36.5,1,11,1,3
"490",2657,29.4,2,11,0,2
"491",2658,69.7,1,2,3,6
"492",2660,47.8545127651924,2,26,2,8
"493",2661,37.3,2,10,1,2
"494",2663,39,2,14,1,4
"495",2664,31.5,1,2,1,3
"496",2665,33.1,2,9,1,4
"497",2666,50.7,2,14,2,7
"498",2667,38.4,2,4,1,5
"499",2668,47.8545127651924,2,9,2,2
"500",2669,63.5,1,24,3,5
"501",2671,35.4,2,1,1,7
"502",2672,92.3,1,2,4,34
"503",2674,73.2,2,11,3,14
"504",2675,63.5,1,4,2,16
"505",2676,69.2,2,0,3,27
"506",2677,47.8545127651924,1,19,2,8
"507",2679,28.4,2,13,0,4
"508",2680,38,2,13,1,5
"509",2681,47.8545127651924,2,16,2,4
"510",2682,29.5,1,2,0,3
"511",2683,37.3,1,5,1,4
"512",2684,80.3,2,13,4,17
"513",2685,35.1,1,5,1,4
"514",2686,28.4,1,20,0,1
"515",2687,59.9,1,10,2,10
"516",2688,21.1,2,9,0,2
"517",2689,26.5,1,6,0,2
"518",2690,47.8545127651924,2,10,2,3
"519",2691,36.7,1,9,1,3
"520",2692,32.3,1,13,1,3
"521",2693,30.2,1,6,0,5
"522",2694,27.5,2,8,0,5
"523",2695,39.5,1,10,1,3
"524",2696,47.8545127651924,2,12,2,2
"525",2697,28.4,2,9,0,2
"526",2698,29.3,2,7,0,4
"527",2699,26.7,2,10,0,3
"528",2701,62.1,1,10,2,14
"529",2702,48.9,1,12,2,4
"530",2704,29.2,2,9,0,4
"531",2705,85.1,1,18,4,32
"532",2709,63.5,2,7,3,19
"533",2711,32.8,1,5,1,5
"534",2714,64.4,2,6,3,27
"535",2716,85.1,1,26,4,24
"536",2719,78.5,2,10,4,14
"537",2720,49.6,1,9,2,5
"538",2722,31.3,1,2,1,3
"539",2725,37.3,1,16,1,8
"540",2726,26.7,1,13,0,4
"541",2728,37.7,1,25,1,3
"542",2729,73.2,2,18,3,35
"543",2730,50.7,2,16,2,7
"544",2731,63.5,2,10,3,25
"545",2732,31.4,1,9,1,3
"546",2734,31.4,1,5,1,3
"547",2735,35.2,2,8,1,3
"548",2736,29.3,2,14,0,2
"549",2737,38.9,1,20,1,6
"550",2738,31.5,1,16,1,5
"551",2739,52.4,1,1,2,10
"552",2742,27.7,2,15,0,5
"553",2743,50.7,2,5,2,6
"554",2744,29.2,1,13,0,6
"555",2745,29.3,2,4,0,2
"556",2746,32.4,2,2,1,4
"557",2748,32.4,2,5,1,2
"558",2749,25.8,2,7,0,5
"559",2751,38.5,2,19,1,7
"560",2752,26.5,1,11,0,3
"561",2754,30.7,2,9,0,4
"562",2755,50.7,2,6,2,9
"563",2757,69.7,1,9,3,15
"564",2758,31.5,1,10,1,5
"565",2768,27.7,2,11,0,5
"566",2769,54.7,2,1,2,9
"567",2770,63.2,2,4,3,10
"568",2771,54.5,2,9,2,8
"569",2773,63.5,1,22,3,13
"570",2774,83.7,1,26,4,18
"571",2776,84.7,1,1,4,20
"572",2777,64.2,2,20,3,13
"573",2778,26.4,2,13,0,6
"574",2779,33.1,1,13,1,5
"575",2780,29.4,2,13,0,2
"576",2781,18.5,2,16,0,1
"577",2783,47.8545127651924,2,6,2,7
"578",2784,25.3,2,14,0,2
"579",2785,27.5,1,6,0,2
"580",2786,26.9,1,13,0,4
"581",2787,37.5,1,9,1,5
"582",2788,17.1,2,9,0,2
"583",2789,84.2,1,12,4,22
"584",2790,36.9,2,7,1,10
"585",2792,38.4,2,5,1,4
"586",2793,26.7,2,18,0,3
"587",2794,32.4,2,19,1,4
"588",2795,31.2,2,17,0,4
"589",2796,60.5,1,17,2,10
"590",2797,50.7,1,7,2,10
"591",2798,73.2,2,4,3,19
"592",2799,63.5,1,13,3,15
"593",2800,35.2,2,10,1,5
"594",2801,53.4,1,23,2,9
"595",2802,42.3,1,18,1,7
"596",2803,29.3,2,16,0,3
"597",2804,74.4,2,9,3,16
"598",2806,22.6,2,12,0,2
"599",2807,73.2,2,13,3,34
"600",2808,38.2,1,19,1,5
"601",2809,37.3,1,9,1,5
"602",2810,47.8545127651924,2,19,2,2
"603",2811,63.2,1,4,3,20
"604",2812,36.9,2,4,1,6
"605",2813,47.8545127651924,2,13,2,1
"606",2814,72,2,6,3,15
"607",2815,50.7,2,11,2,8
"608",2816,37.3,2,13,1,5
"609",2817,31.3,2,11,1,3
"610",2818,38.9,2,2,1,5
"611",2819,78.5,2,10,4,14
"612",2820,33.3,2,18,1,4
"613",2828,83.7,1,19,4,22
"614",2830,63.5,2,9,3,13
"615",2835,63.5,1,4,3,13
"616",2836,40.2,2,7,1,4
"617",2837,22.9,2,12,0,3
"618",2838,47.8,1,3,2,7
"619",2839,35.1,1,14,1,3
"620",2840,38.4,1,1,1,5
"621",2841,63.5,2,7,3,3
"622",2843,61.9,2,17,2,13
"623",2844,86.5,1,18,4,20
"624",2846,52.3,1,12,2,5
"625",2847,51,1,17,2,6
"626",2848,28.4,2,9,0,3
"627",2851,78.5,2,13,4,16
"628",2853,30.8,2,4,1,5
"629",2857,37.2,1,10,1,5
"630",2858,42.4,1,16,2,4
"631",2859,64.2,2,10,3,11
"632",2860,25.8,1,2,0,2
"633",2864,33.3,2,11,1,7
"634",2865,34.3,1,7,1,4
"635",2866,30.8,2,1,0,5
"636",2867,28.6,1,5,0,2
"637",2868,37.7,2,6,1,6
"638",2870,73.2,2,8,3,27
"639",2871,21.2,2,9,0,1
"640",2872,80.3,2,6,4,30
"641",2874,29.3,2,3,0,4
"642",2875,87.9,1,2,4,23
"643",2880,49.9,2,17,2,4
"644",2881,38.9,1,6,1,6
"645",2882,39.4,1,0,1,17
"646",2883,76.4,1,4,3,16
"647",2884,48.5,1,13,2,7
"648",2885,26.4,2,11,0,5
"649",2886,42.2,1,3,1,11
"650",2889,52.5,1,6,2,5
"651",2890,62.2,2,17,2,16
"652",2891,50.5,2,10,2,8
"653",2895,47.8545127651924,2,13,2,9
"654",2896,28.4,1,12,0,4
"655",2903,68.1,1,2,3,16
"656",2904,32.4,2,15,1,4
"657",62,33.1,2,15,1,7
"658",74,36.5,2,16,1,9
"659",75,47.8545127651924,2,20,2,7
"660",76,47.8545127651924,2,12,2,4
"661",77,69.2,2,10,3,27
"662",119,33.6,2,22,1,13
"663",120,80.3,2,13,4,24
"664",121,38.4,2,11,1,5
"665",122,53.7,1,1,2,4
"666",126,62.5,2,15,3,13
"667",135,92.3,1,12,4,37
"668",136,49.9,1,14,2,7
"669",137,36.5,2,16,1,5
"670",138,33.1,2,6,1,3
"671",139,50.3,2,9,2,9
"672",141,36.5,2,10,1,6
"673",142,36.2,1,11,1,5
"674",143,22.7,2,4,0,1
"675",144,48.5,2,24,2,2
"676",145,33.1,1,8,1,5
"677",146,50.5,2,9,2,10
"678",147,33.1,2,12,1,9
"679",148,60.5,1,13,2,13
"680",149,30.7,1,9,0,5
"681",178,74.4,1,23,3,29
"682",179,63.5,1,0,3,13
"683",180,63.5,1,16,2,16
"684",187,52.5,2,7,2,12
"685",188,73.2,2,11,3,20
"686",204,38.4,2,27,1,6
"687",207,86.5,1,11,4,22
"688",210,33.6,1,13,1,6
"689",2393,63.5,1,6,3,19
"690",2395,26.7,2,2,0,4
"691",2401,22.7,1,9,0,2
"692",2402,35.1,1,2,1,4
"693",2454,62,2,1,2,15
"694",2455,26.7,1,2,0,3
"695",2456,31.5,1,17,1,4
"696",2457,63.5,1,14,3,13
"697",2460,29.2,2,7,0,4
"698",2473,27.5,2,17,0,5
"699",2481,38.4,2,8,1,6
"700",2484,45.9,1,4,2,13
"701",2487,48.5,1,3,2,4
"702",2488,46.1,2,5,2,7
"703",2489,29,2,6,0,2
"704",2490,34.6,2,1,1,2
"705",2491,76.4,1,12,3,18
"706",2492,43.3,1,14,2,9
"707",2535,58.3,2,18,2,8
"708",2536,32.4,2,11,1,4
"709",2563,63.5,2,24,3,9
"710",2564,47.8545127651924,2,20,2,4
"711",2570,36.5,1,14,1,2
"712",2571,33.6,2,14,1,5
"713",2593,44.7,1,8,2,23
"714",2594,47.8545127651924,2,12,2,2
"715",2595,33.1,2,16,1,4
"716",2614,33.1,2,2,1,5
"717",2615,38.4,1,2,1,5
"718",2616,32.3,1,13,1,2
"719",2618,30.8,2,1,1,4
"720",2622,47.8545127651924,2,11,2,3
"721",2623,22.5,2,12,0,2
"722",2624,22.5,2,9,0,3
"723",2626,33.9,2,0,1,6
"724",2710,57.1,2,3,2,17
"725",2713,38.9,1,18,1,3
"726",2718,27.2,2,15,0,2
"727",2750,50.7,1,16,2,6
"728",2760,78.5,2,10,4,23
"729",2761,74.9,2,26,3,17
"730",2762,47.8545127651924,2,11,2,3
"731",2766,38,2,5,1,6
"732",2767,48.6,2,25,2,8
"733",2823,76.3,1,0,3,13
"734",2824,38.2,1,11,1,14
"735",2825,36.5,2,14,1,6
"736",2826,80.3,2,28,4,24
"737",2829,82.7,1,17,4,25
"738",2849,47.8545127651924,2,6,2,9
"739",2850,38,2,6,1,6
"740",2852,37.3,1,8,1,3
"741",2861,63.5,1,10,3,20
"742",2862,56.5,1,22,2,9
"743",2876,62.5,2,4,2,21
"744",2877,33.1,2,6,1,4
"745",2878,39.7,1,10,1,4
"746",19,17.1,1,4,0,2
"747",22,27.5,2,6,0,2
"748",27,53.7,2,3,2,11
"749",61,28.6,1,14,1,5
"750",64,38.9,2,15,1,5
"751",65,63.5,1,5,3,16
"752",66,38,2,4,1,10
"753",67,28.6,1,11,0,9
"754",68,47.8545127651924,2,17,2,5
"755",69,38,2,3,1,7
"756",70,36.5,2,11,1,6
"757",71,29.3,2,11,0,3
"758",72,81,1,16,4,18
"759",79,28.4,1,0,0,1
"760",80,38,2,6,1,6
"761",81,69.2,1,7,3,18
"762",82,29.3,2,15,0,4
"763",83,50.5,2,18,2,11
"764",89,76.4,1,13,3,20
"765",94,52.5,1,1,2,9
"766",96,64.1,1,13,3,12
"767",106,47.8545127651924,2,16,2,3
"768",107,29.2,1,10,0,2
"769",108,28.6,1,6,0,1
"770",110,29.3,2,9,0,3
"771",111,47.8545127651924,2,7,2,6
"772",112,48.9,2,14,2,6
"773",113,22.5,2,2,0,6
"774",115,29.3,2,8,0,5
"775",116,38.9,2,4,1,6
"776",117,28.4,2,18,0,2
"777",118,87,1,8,4,20
"778",130,70.5,2,27,3,17
"779",132,37.6,2,14,1,4
"780",140,31.4,2,14,1,10
"781",150,38.1,1,16,1,7
"782",157,28.4,1,13,0,3
"783",165,63.5,1,12,2,6
"784",166,32,1,10,1,5
