childs;degree;educ;sei;divorce
1;1;11;30,8;1
1;1;14;29,4;0
0;0;10;33,1;1
1;1;12; ;0
1;1;14;26,4;0
0;1; ; ;0
1;0;9; ;0
1;0;8;29,2;0
0;0;11;28,6;1
0;3;16;53,3;1
1;1;13;29,3;1
1;1;13; ;0
1;1;12;48,9;1
1;3;16;22,5;0
1;1;15;44,7;0
1;1;11;29,3;0
1;1;13;38,9;0
1;0;9;28,4;0
1;4;20;87;0
0;2;14;33,6;0
1;3;16;80,3;0
1;1;14;38,4;0
1;0;14;53,7;0
1;1;14;50,7;1
0;3;16;58,3;0
1;1;14;63,5;0
0;1;13;62,5;0
1;1;12;26,4;1
1;2;14;35,1;0
0;1;13;37,3;1
1;1;10;70,5;0
1;1;12;38,1;0
1;1;12;37,6;0
1;0;8;73,6;0
1;1;12;33,9;0
0;4;20;92,3;0
0;1;13;49,9;0
1;1;12;36,5;0
1;0;11;33,1;1
1;1;14;50,3;1
1;2;14;31,4;0
1;1;14;36,5;0
1;1;14;36,2;0
1;0;12;22,7;1
1;0;10;48,5;0
0;1;12;33,1;1
1;1;13;50,5;1
0;4;16;33,1;1
0;1;15;60,5;0
0;1;12;30,7;0
1;1;14;38,1;1
1;2;14;50,5;0
1;0;10;22,7;0
1;4;18;76,3;0
0;1;14;76,3;1
1;1;12;33,1;0
0;1;14; ;1
1;1;12;28,4;0
1;1;13;45,8;0
1;4;20;74,4;0
1;0;11;36,5;1
1;1;14;63,5;0
1;3;20;63,5;0
1;4;18;76,5;1
0;1;13;37,7;0
1;0;11;63,5;0
1;3;16;32;0
0;1;14;36,5;1
1;4;19;64,4;0
1;1;12;60,5;0
1;1;12;48,8;0
1;1;12;38,2;0
1;1;14;34,2;0
1;0;11;28,4;0
1;3;19;50,5;0
1;1;15;74,4;0
0;1;14;38,4;1
1;1;13;38,2;0
0;4;20;74,4;0
0;3;16;63,5;0
1;1;12;63,5;0
1;3;16;76,4;0
1;1;12;28,6;0
1;4;20;83,7;0
1;3;16;63,2;0
1;3;16;34,2;1
0;1;12;73,3;1
0;3;16;52,5;0
1;3;19;73,2;0
1;1;12;73,6;0
1;3;16;53,7;0
1;3;17;37,4;0
1;3;16;63,5;0
1;1;12;58,3;0
0;1;15;34,4;0
1;2;14;50,7;1
0;3;16;63,5;0
0;3;17;32;1
1;1;14;39;0
1;1;14;32;0
1;1;12;32,3;1
1;1;13;38,1;0
1;1;12;73,2;0
1;1;14;50,5;0
1;1;13;38,4;1
0;4;18;33,9;1
1;1;12;51,9;0
1;3;16;86,5;0
1;0;11;32,3;0
1;1;12;28,6;0
0;1;12;33,6;0
1;3;17;78,5;0
1;1;12;44,7;0
1;3;16;81,9;0
1;1;13;53,7;0
0;1;13;53,7;0
1;4;18;63,5;0
0;3;16;61,1;0
1;3;16;63,5;1
1;1;15;38,4;0
1;3;16;63,5;0
1;1;13;82,7;1
1;4;20;63,5;0
0;4;18;61,1;1
0;3;16;26,4;0
0;0;14;42,5;0
0;3;16;52,5;0
0;3;18;72,5;1
0;3;16;84,7;1
0;3;17;52,5;0
0;3;17;40,2;0
0;3;16;82,7;0
1;1;14;22,5;1
0;1;12;63,5;0
1;1;14;33,9;1
1;3;16;76,4;0
1;4;18;75,9;0
0;3;16;40,1;1
0;3;17;78,5;0
0;2;14;60,5;1
0;4;19;78,5;0
0;0;17;60,6;0
1;4;20;76,4;0
1;1;15;60,6;1
1;0;11;36,5;0
0;1;13;36,9;0
1;0;7;22,5;0
1;1;13;36,9;1
1;0;14;43,7;0
 ;1;12;28,4;0
1;0;11; ;1
1;0;10;50,5;0
1;1;16;29,3;1
0;1;15;42,3;0
0;0; ;29,3;1
0;2;16;76,4;0
0;1;13;49,6;0
1;2;14;38;0
1;1;13;67;0
1;2;14;67;0
1;3;16;63,2;1
1;1;14;53,1;0
1;3;17;63,5;1
1;3;16;80,3;0
0;1;13;38;0
1;4;20;86,5;1
0;2;14;50,7;0
1;3;16;81;0
1;1;12;46,7;0
1;1;12;20,1;0
1;3;18;73,2;0
1;3;16;61,9;0
0;1;14;63,5;1
1;1;12;41,6;1
0;1;13;28,6;0
0;1;14;49,6;0
0;1;12; ;1
0;3;16;73,2;0
1;0;9;53,7;0
1;1;12;53,7;1
1;3;16;74,4;1
0;0;11;68,1;0
1;1;12;45,3;1
0;1;14;28,6;0
0;1;12;37,7;0
1;1;13;28,6;0
1;3;16;86,8;0
1;1;14;32,7;0
1;1;13;31,4;0
1;1;13;37,9;0
0;1;14;31,4;0
1;1;12;53,3;1
1;2;15;38,4;1
1;0;13; ;0
1;3;17;50,7;1
1;0;8;32,4;0
1;0;6;40;1
0;1;14;32,3;1
0;1;13;33,1;0
0;0;8;32,4;0
1;1;12;38,7;0
1;1;14;34,2;0
1;1;13;48,9;0
1;1;13;50,5;1
1;1;12;37,3;1
1;1;12;36,5;0
1;2;14;60,6;1
0;0;8;38,4;0
1;1;14;39,6;0
1;1;12;32;0
1;2;15;50,7;0
1;0;10;29,8;0
1;1;13;54,2;1
1;3;16;36,9;0
1;1;12; ;1
1;0;10; ;0
1;4;17; ;0
1;1;12;38,9;0
0;1;12;38,2;0
0;0;12;30,1;0
0;3;16;68,1;0
1;0;11;33,9;0
 ;3;16;50,7;0
0;1;13;38;0
1;2;13;48,9;0
0;4;20;78,5;0
1;3;16;50,7;0
0;1;12;54,2;1
1;1;12;63,5;0
1;0;10;32,1;0
1;0;10;50,7;0
1;1;12;38,1;0
1;1;12;36,1;0
0;3;16;76,4;1
1;1;12;29;1
1;1;12;48,5;0
0;1;14;36,5;0
0;1;12;32,7;0
0;1;12;28,4;1
0;2;16;31,2;1
0;2;15;50,7;1
1;3;17;50,5;0
1;1;12; ;1
1;1;12;29;1
1;0;8;29,2;0
1;1;12;54,7;1
0;0;9;22,7;0
1;1;10;39;1
1;1;13;33,1;0
1;0;10;17,1;1
1;1;14;45,3;0
1;1;17; ;0
1;4;16;85,1;1
1;1;12;33,9;0
0;1;14;36,5;0
1;0;11; ;0
1;1;12;54,5;1
1;0;7;22,5;0
1;1;15;26,4;1
1;0;10;22,7;1
1;1;12;21,2;1
1;0;11;42,3;0
1;1;12;32,4;1
1;1;13;43,2;0
0;1;12;28,4;1
1;2;15;73,2;0
1;1;16;56,5;1
1;1;12;40,1;1
0;3;16;86,6;0
0;4;17;69,2;0
1;1;12;36,5;0
0;3;16;83,7;0
0;4;19;69,2;0
1;4;18;78,5;0
0;3;16;57,1;0
0;3;16;63,2;0
0;2;14;38,9;0
1;1;13;50,7;1
1;3;16;46,8;0
1;1;12;34,2;0
1;1;12;37,3;0
1;3;17;83,7;0
 ;2;16;51,9;0
1;4;18;80,3;0
1;1;12;35,1;0
1;1;12;38,4;0
0;3;17;73,7;0
0;1;14;36,2;1
1;1;12;38;1
1;1;12;29,7;1
0;2;14;60,5;0
1;1;13;29,2;1
1;1;12;37,8;0
0;1;12;29;0
1;1;12;57,1;0
0;1;12;27,2;1
1;3;16;63,5;0
1;3;16;73,2;0
1;1;14;29,5;1
1;1;14;69,2;0
1;0;10;21,3;1
1;2;14;32;0
1;1;12;38,9;0
1;1;9;32,3;0
1;0;11;29,4;1
0;3;16;68,8;0
1;1;9;32,7;1
0;3;16;63,5;0
1;3;16;59;1
1;2;13;44,2;0
1;1;12;36,5;0
1;0;12;28,4;0
1;0;10; ;0
1;3;16;56,6;0
1;0;10;34,2;0
1;1;12;31,5;0
1;1;12;67;0
0;2;16;53,2;1
1;1;14;78,7;0
0;1;13;63,5;1
1;4;18;68,8;1
0;1;15;76,4;1
0;2;15;34,3;0
1;3;17;74,4;0
1;3;16;67;0
1;3;16;86,5;0
1;3;16;60,6;1
1;1;12;35,4;0
0;1;13;46,8;0
0;0;10;60,5;1
1;2;14;31,4;0
1;1;13;38,1;0
0;0;11;35,1;1
1;1;12;50,7;0
1;1;12;26,4;0
0;2;15;33,1;0
1;2;15;28,4;1
1;0;10;31,5;1
0;2;15;26,4;1
1;1;12;33,1;0
1;0;5; ;1
0;1;13;33,9;1
1;3;20;85,1;0
1;1;14;28,6;1
1;0;11;38,4;0
1;0;10;31,5;0
1;1;12;51,9;0
1;1;14;63,5;1
1;3;18;78,5;1
0;3;17;59,1;1
1;4;19;34,4;1
0;3;17;63,5;1
1;1;11;34,2;0
1;1;12;78,5;0
0;0;11;50,7;0
0;1;13;76,4;0
0; ; ;39,4;1
0;3;16;73,2;0
1;1;17;45,9;0
1;0;11;25,5;1
0;1;12;28,4;0
0;1;14;29,3;1
1;1;15;28,4;0
1;0;0; ;0
0;4;17;83,7;0
0;3;16;86,6;0
1;4;18;75,2;0
1;1;14;83,7;1
1;1;14;38;0
1;1;13;31,4;0
1;1;14;69,2;0
1;1;12;50,7;0
1;1;12;31,4;0
1;3;16;69,2;1
1;1;13;53,9;1
1;0;14;66,1;0
1;1;14;36,4;1
0;1;12;37,8;1
1;1;12;31,5;1
1;3;16;29,2;1
1;0;5;32,3;0
0;0;10;66,1;0
1;1;10;32,3;0
1;1;12;32,4;1
0;1;13;53,9;1
1;1;13;36,5;1
0;4;20;81,9;1
1;1;10;34,4;0
1;1;14;45,2;0
0;3;16;38,9;0
0;3;14;74,4;1
0;3;20;78,5;1
0;0;13;29;1
1;0;11; ;1
1;0;10;33,2;1
1;1;14;63,9;0
1;1;13;43,7;0
1;1;12;63,5;0
0;0;9;43,3;0
1;0;6;22,6;0
1;0;8;17,1;0
1;3;17;86,5;0
1;0;5;27,5;1
1;0;10;31,2;0
1;1;12;53,3;0
1;1;13;31,4;1
0;1;12;28,4;1
1;1;12;63,5;1
1;0;9;23,3;1
1;1;13;66,1;1
1;3;16;38,4;0
1;1;12;69,7;1
0;1;12;29,2;1
1;1;12;53,1;1
1;3;17;88,8;0
1;1;12;37,9;1
1;3;16;78,5;0
1;1;12;33,2;0
1;1;12;19,4;0
1;3;16;86,6;0
0;1;12;35,4;0
0;1;12;63,5;0
1;1;16;50,5;0
1;1;12;39,4;1
1;0;10; ;0
0;1;12;30,1;0
0;4;20;86,8;0
1;0;10;63,5;0
1;3;16;86,6;0
1;2;14;38,9;0
1;1;12;50,7;1
1;0;8;31,5;1
1;3;16;50,7;0
1;0;9;26,7;0
1;0;7;37,4;0
1;3;16;56,6;0
1;1;12;67;1
1;3;16;78,5;0
1;3;16;63,5;0
1;4;19;82,7;1
1;4;17;78,5;0
0;1;14;37,4;1
0;1;14;34,4;0
1;4;20;83,7;0
1;1;14;58,3;1
1;3;16;76,4;0
1;1;14;42,2;1
1;4;18;80,9;0
1;1;14;63,2;1
0;3;17;61,9;0
1;1;11; ;0
0;1;12;29,3;0
1;0;4;21,2;0
0;0;11;22,6;0
1;1;14;41,6;0
1;1;11;17,1;0
1;1;15;35,4;0
1;1;12;29,2;1
1;1;12;38,4;1
1;0;8;22,9;1
1;0;11;27,7;0
1;1;10;30,2;0
1;0;5;33,1;0
0;2;14;48,8;0
0;1;12;63,5;0
1;1;14;68,1;0
1;1;12;35,4;1
1;1;13;65,8;0
1;3;16;64,4;1
1;1;12;37,3;0
1;3;16;76,4;0
1;1;13;45,9;0
0;3;16;38,9;1
1;4;20;83,7;0
1;4;20;48,5;1
0;4;20;87,4;0
1;4;18;63,5;0
1;1;14;33,3;0
0;3;16;63,5;0
1;4;20;97,2;1
1;3;16;50,5;1
1;1;12;45,4;1
1;2;14;38,4;0
1;1;10;17,1;0
1;2;14;33,1;1
1;1;14; ;0
1;1;12;63,5;1
0;1;12;35,1;1
0;1;15;29,2;0
1;4;18;65,8;1
0;1;12;64,8;0
0;4;18;38,9;1
0;4;18;78,5;0
0;1;13;38,9;0
1;1;15;50,7;1
1;3;19;65,8;0
0;1;12;26,7;0
0;3;16;48,6;0
1;1;13;32,3;0
1;2;14;63,5;0
1;1;13;63,5;0
1;1;12;63,5;0
1;2;16;38,2;0
0;3;16;73,9;1
0;1;14;30,7;0
0;3;16;73,2;1
0;1;11;65,2;0
0;3;16;38,9;1
1;1;16;57,1;1
0;1;13;50,5;0
1;4;18;76,4;1
1;3;18;83,7;1
0;3;16;63,5;0
1;3;16;50,7;0
0;4;20;83,7;0
0;3;16;38,4;1
0;3;17;83,7;0
1;4;18;82,7;0
0;1;15;38,4;0
1;4;17;84;0
1;1;15;61,1;0
1;1;12;28,6;0
1;1;9;38,4;1
1;4;20;73,9;0
1;3;16;71,2;0
0;3;17;87;1
0;4;20;63,5;0
1;3;18;36,5;1
0;3;16;37,7;0
0;1;12;63,5;1
1;1;14;53,7;0
0;3;16;63,5;0
0;4;18;76,3;0
1;3;18;73,2;0
1;1;12;36,5;0
1;0;8;34,4;1
1;0;7; ;1
1;0;11;50,7;1
1;4;18;37,7;0
0;3;15;61,9;0
0;3;18;84;0
0;3;17;86,5;1
1;1;12;27,5;1
0;4;20;63,5;0
0;4;18;69,7;0
0;3;16;37,7;0
0;1;11;76,3;1
0;1;12;35,4;0
0;3;16;82,7;0
1;1;13;32,3;0
0;3;16;50,7;0
1;3;18;26,7;0
1;1;13;38,9;1
1;1;11;33,9;0
1;1;12;36,5;0
0;3;16;87,9;0
1;3;16;38;0
0;4;20;63,5;1
1;3;17;63,5;0
1;1;14;38,9;1
1;4;20;84;1
1;1;12;26,5;0
1;1;12;67;0
1;3;17;38,9;0
1;1;12;29,8;1
1;1;12;29,2;1
1;0;5;28,4;0
0;0;10; ;0
1;1;15;36,1;1
1;1;13;52,4;1
1;1;14;51;0
1;3;16;63,5;0
1;1;13;63,2;1
1;4;20;85,1;0
1;4;19;80,9;0
1;1;12;35,4;0
1;1;17;86,6;0
0;1;13;35,1;1
1;3;16;86;1
1;3;16;36,1;0
1;1;12;63,5;0
1;1;12;33,1;0
1;0;10;38,4;0
1;1;14;78,5;0
1;0;10;27,9;1
0;3;19;22,5;1
0;0;13;38,2;0
0;3;16;37,7;1
0;1;12;48,6;0
1;2;16;73,2;1
0;2;14;73,6;0
1;4;17;86,8;0
1;1;13;38;1
1;3;17;63,5;0
1;4;18;64,2;1
1;3;17;63,5;0
1;0;11;26,7;0
1;0;8;26,4;0
1;1;12;63,5;0
1;3;16; ;0
0; ;14;83,7;0
0;3;16;78,5;0
0;4;19;83,7;0
1;0;10;29,2;0
0;1;12;38,4;0
1;1;12;38,4;0
1;4;18;63,5;0
1;2;14;63,5;1
1;1;14;50,5;0
1;0;9;29,5;0
1;3;16;60,6;0
1;1;15;37,7;0
0;1;12;51,9;0
0;2;14;68,1;1
0;1;13;64,1;1
1;4;18;71,6;0
1;1;12;36,5;0
1;0;9;26,7;0
0;3;17;64,4;1
1;1;12;33,3;1
1;1;12;57,1;1
0;1;13;29,5;1
1;1;13;49,6;1
1;1;11;38;1
1;1;15;68,1;0
1;1;12;31,4;1
1;1;14;50,7;0
1;2;16;36,5;1
1;3;16;68,8;0
1;1;14;65,8;1
1;1;14;63,5;1
1;1;12;28,4;0
0;3;16;87;0
1;4;18;63,5;1
1;3;16;63,5;1
1;3;16;81;0
1;3;16;64,2;0
1;1;12;38,9;1
0;1;15;50,7;1
1;1;15;63,5;0
1;3;16;63,5;1
1;3;16;63,5;1
1;3;16;63,5;0
1;3;16; ;0
1;3;16;73,6;0
1;3;16;73,6;0
1;3;16;63,5;0
0;1;12;37,6;1
1;3;17;63,5;1
0;3;16;63,2;1
0;0;10;29;1
1;3;16;32,3;1
1;1;13;36,5;1
1;1;12;34,2;1
1;3;16;86,5;0
1;2;14;48,6;1
1;4;16;78,5;0
0;3;16;47,8;0
1;3;16;87,9;0
0;4;16;97,2;0
0;1;12;63,5;1
1;1;12;63,5;0
1;1;10;25,2;0
1;1;11;31,4;0
1;3;16;64,2;0
0;3;16;76,3;0
0;1;19; ;0
1;0;7;28,4;0
1;1;13;38;1
1;0;7;26,5;1
1;1;14;52,4;0
1;2;14;38,9;0
1;1;12; ;0
1;2;14;60,5;0
1;1;13;31,4;0
1;0;11;33,1;1
0;1;15;35,4;0
1;3;16;64,1;0
1;2;14;43,7;1
1;1;14;38,2;0
0;3;20;88,8;0
1;0;10;37,4;0
1;1;12;63,5;1
1;3;18;88,3;1
1;3;16;80;0
1;2;14;76,4;0
1;1;13;38,4;0
0;1;14;38,4;0
1;1;12;21,2;0
1;1;13;31,4;0
1;0;11;44,8;0
1;0;10;29;0
1;1;14;44,3;1
1;0;8;29,2;0
0;3;16;59,1;0
1;1;12;38,4;1
1;0;8;32,4;0
1;0;8;28,6;1
1;3;16;63,5;0
1;1;12;28,6;1
1;0;10;32,4;1
0;2;14;73,2;1
1;2;14;27,5;1
1;3;15;73,2;0
0;3;17;69,7;0
1;1;12;34,2;0
1;1;15;34,3;1
1;0;9;28,4;1
1;1;12;28,4;0
1;2;14;64,8;0
1;0; ;29,3;1
1;1;15;29,3;1
0;1;12;32,3;0
1;1;13;21,2;0
1;0;11;30,8;0
1;1;12;62,1;1
1;1;12;33,1;0
1;1;13;63,5;0
0;1;13;50,7;0
1;1;12;35,1;0
1;1;13;50,7;0
1;1;13;39;1
1;1;12;29;1
1;1;12;28,4;0
1;0;6;50,7;0
1;0;0;21,2;0
0;0;11; ;1
1;1;13;73,2;1
0;1;12;29,4;0
1;1;12;48,5;0
1;4;18;78,5;0
1;3;16;73,3;0
1;1;12;37,7;1
1;1;12;27,7;1
0;1;14;53,3;1
1;3;16;65,8;1
1;3;16;60,6;0
1;1;12;38,4;1
0;0;11;39;1
0;1;14;48,5;0
0;1;14;73,3;0
0;3;16;76,4;0
0;0;10;37,9;0
1;1;12;31,4;0
1;1;12;32,3;0
1;2;14;81;0
1;1;12;22,5;0
1;1;12;48,5;0
1;1;12;55,1;1
0;1;16;40;1
0;4;20;90,8;1
0;1;14;29,8;0
0;4;20;84;0
0;3;16;73,6;0
0;3;16;50,7;0
1;1;12;34,2;0
0;1;15;21,2;1
 ;1;13;63,5;0
0;1;17;63,5;0
1;1;12;33,1;0
0;3;16;69,7;0
1;1;15;51;1
1;1;12;42,3;1
1;1;13;76,3;1
0;3;16;73,2;1
0;3;16;75,2;0
1;1;12;29,8;0
1;4;20;97,2;1
0;3;17;63,5;0
1;1;13;38,4;1
1;4;20;96;1
1;1;13;53,3;0
1;3;17;86,6;1
1;3;18;33,9;0
1;1;15;64,2;1
1;1;12;63,5;1
1;3;17;83,7;0
0;2;14;32,3;1
1;2;14;39,4;0
0;1;12;34,3;0
1;2;13;57,1;0
1;1;13;76,4;1
0;3;15;63,5;0
1;1;13;63,5;0
0;1;15;38,1;1
0;3;16;37,7;0
0;1;16;32,4;0
0;1;15;33,9;0
0;3;16;78,5;1
0;1;12;43,3;1
0;1;15;63,5;1
0;1;12;33,6;1
0;1;12;29,2;1
0;3;16;63,5;0
0;1;16;41,1;1
0;2;17;35,4;1
1;1;12;39;0
0;1;13;33,1;0
1;1;13;28,4;0
0;1;12;32,3;0
1;0;6;27,5;0
1;1;12; ;0
0;3;18;33,1;0
0;4;20;64,8;1
1;4;20; ;1
1;1;15;37,9;0
0;1;13; ;1
0;1;12;20,1;0
0;1;13;34,2;0
0;1;12;36,4;1
0;1;12;27,9;0
1;2;14;76,4;0
0;2;14;87,9;0
0;1;12;30,8;1
1;4;20;63,5;1
1;1;12;29,3;1
0;1;12;37,4;0
1;1;15;83,9;0
1;4;20;97,2;0
0;4;18;73,3;0
1;4;18;82,7;0
0;4;20;97,2;0
1;4;20;92,3;0
1;4;18;78,5;0
1;1;14;31,3;0
0;3;16;62,5;0
1;1;16;29,3;1
1;1;12;29,3;0
1;0;11;28,4;0
1;1;12;18,5;0
1;1;13;43,5;0
1;1;12;29,1;0
1;0;10;38,9;0
1;0;10;36,5;1
1;0;8;48,5;0
0;1;14;33,6;0
0;1;12;38;1
1;4;18;86,6;0
1;1;12;63,5;0
0;3;16;31,4;0
0;1;14; ;0
1;1;12;38,2;0
1;3;16;49,6;0
1;4;18;88,8;0
0;1;12;38,4;0
0;4;18;64,1;0
0;3;16;73,2;0
0;3;16;68,8;0
1;1;15;63,2;0
0;1;12;31,5;1
1;1;12;73,6;0
0;3;17;32,4;0
1;1;12;63,5;1
0;1;12; ;0
1;4;16;73,2;0
0;2;16;60,5;1
1;1;13;37,4;0
0;1;12;27,5;0
1;1;12;37,7;0
0;1;12;29,8;1
0;0;4; ;0
1;1;12;31,4;0
1;1;12;32,3;1
0;1;14;34,3;1
1;0;9;27,5;0
0;3;20;29,3;1
0;2;14;69,7;0
1;3;19;50,7;0
1;1;12;63,5;0
1;2;13;38,4;0
1;3;16;50,7;0
1;3;16;38,4;0
1;3;17;73,3;0
1;1;14;36,5;1
1;4;18;73,2;0
0;3;16;39,4;1
0;1;14;52,3;1
0;3;17;38,9;1
0;3;16;48,5;1
0;1;13;32,4;0
0;1;16;35,2;0
1;1;12;49,6;0
1;1;12;38,9;1
0;3;17;49,6;1
1;3;16;62,1;0
1;3;16;76,3;0
1;3;17;26,4;0
1;1;12;38,1;0
1;3;17;56,5;1
1;1;12;63,5;0
1;3;16;73,2;0
1;3;18;73,3;0
1;2;14;45,3;1
1;1;12;39;0
1;1;13;39;0
1;2;14;60,5;0
1;1;12;33,1;0
0;4;16;74,4;0
0;2;14;53,3;0
0;1;9;28,4;0
1;1;12;69,7;0
1;3;16;73,7;0
0;3;16;36,7;0
1;2;15;62,2;1
0;1;12;29,4;1
1;0;11;31,7;0
1;1;13;65,8;0
1;1;12;48,5;0
1;1;13;27,7;0
1;4;17;86,6;0
1;1;13;29,1;0
1;3;16;51,9;1
1;3;16;56,6;0
1;1;12;73,8;0
0;4;20;64,4;1
0;1;15;73,2;1
1;1;13;73,2;0
1;1;15;35,1;1
1;0;6;34,2;1
1;0;8;53,9;1
1;1;12;33,1;0
0;1;12;42,7;0
1;0;9;62;0
1;1;12;53,9;0
1;1;12;36,9;1
0;1;14;38,5;0
0;1;12;67;0
1;0;10;29,2;0
1;1;12;29,2;0
0;4;16;52,4;0
1;1;14;80,9;0
0;1;12;37,7;0
1;1;11;62,5;0
0;0;11;27,5;1
1;4;18;63,5;0
1;2;15;62,1;0
0;1;11;37,6;1
1;1;12;29,3;1
0;3;17;32,4;0
1;2;17;29,3;0
0;1;12;27,7;0
0;3;16;78,5;1
 ;1;12;31,7;0
1;2;14;86,6;1
1;4;12;73,2;0
1;1;13;29,3;0
0;1;16;32,4;0
0;3;16;50,7;1
1;1;12;28,6;0
1;1;12;31,4;0
1;3;16;63,5;0
1;1;12;26,7;0
1;1;12; ;0
0;3;17;66,1;1
1;1;13;26,7;0
1;1;13;33,1;0
1;1;12;32,3;1
1;1;12;29;1
0;1;12;38,1;1
0;4;18;76,3;1
1;3;16;50,7;0
1;4;20;97,2;0
0;3;17;69,2;1
0;1;13;33,6;1
0;0;10;32,3;1
0;0;11; ;0
1;1;12;34,2;1
0;3;17;87,9;0
0;1;13;36,5;1
1;0;9;29,2;1
0;1;12;44,7;0
1;0;9;31,5;1
1;1;15;32,3;0
1;0;8; ;0
1;1;12;28,4;1
1;0;11;21,2;1
1;1;12;63,5;0
1;1;13;34,2;0
0;2;14;59,9;0
1;2;14;64,2;1
1;2;14;63,2;1
1;1;12;37,7;0
1;1;13;38,4;0
1;0;10;26,7;0
1;1;12;21,2;1
0;4;18;73,8;1
1;1;12;36,5;0
1;4;18;38,9;0
0;4;20;73,9;0
0;3;18;43,3;0
0;1;12;33,6;1
0;2;14;38;0
1;1;12;47;0
1;2;14;63,2;0
0;1;12;54,2;1
1;1;12;37,7;0
1;1;12;36,9;0
1;1;12;33,1;0
1;1;13;37,4;0
1;0;10; ;1
1;1;12;33,6;1
1;1;12;33,1;0
1;0;11;21,2;0
1;4;17;78,5;0
0;1;15;52,5;1
1;1;12;29,3;1
1;1;12;51,9;1
0;1;12; ;1
0;4;16;80,3;1
0;3;15;78,5;0
1;1;12;32;0
0;3;16;86,6;0
1;1;9;38,4;1
1;1;13;45,8;0
0;1;12;31,5;1
1;0;8;26,4;1
0;2;14;37,7;0
1;1;14;37,7;1
1;3;19;73,9;0
0;1;12;37,5;0
0;1;15;86;0
1;0;5;31,5;0
1;0;10; ;0
1;1;9;29,2;1
1;0;10;17,1;0
0;1;12;29,3;0
1;2;14;60,6;0
1;0;8;50,7;1
1;2;14;36,5;0
1;1;12;48,6;1
1;1;14;29,8;0
0;0;9;31,4;1
0;1;13;63,5;0
1;2;15;50,7;0
1;1;13;49,6;0
1;1;12;45,4;1
1;1;14;38,2;1
1;3;16;69,7;0
0;1;13;38,4;0
1;4;18;60,6;0
1;1;13;28,4;0
0;1;12;37,7;0
1;1;12;39;0
0;3;16;87,9;1
1;1;12;51,9;0
0;3;16;35,4;0
1;1;12;32,8;0
1;2;14;45,3;1
0;3;16;86,5;0
1;1;12;38,9;1
0;1;13;27,5;1
1;2;14;43,7;0
1;1;14; ;0
1;1;12;22,5;0
0;1;12;37,6;0
1;0;10;31,5;0
1;1;14;53,4;0
1;2;14;74,4;0
1;1;12;50,5;0
1;0;8; ;0
1;1;11;32;0
1;1;12;29,4;0
1;1;13;29,4;0
1;1;12;17,1;1
0;0;9;59,1;0
0;2;13;35,4;0
1;1;12;36,5;0
1;1;12;28,4;0
1;2;15;62,5;0
1;1;12;25,2;0
1;1;12;29,2;0
1;0;10; ;0
1;1;12;38,4;0
1;4;16;78,5;0
1;3;16;53,3;0
1;4;18;63,5;0
1;3;16;86,5;1
1;3;16;73,2;0
1;1;11;31,1;0
0;1;12;43,4;1
1;1;12;80,9;1
1;0;10;27,9;0
1;1;12;38;0
1;0;8;31,5;1
1;0;8;17,1;1
